,index,id_usuario,tipo_usuario,sistema_usuario,id_contenido,duracion_contenido,tipo_contenido,numero_sesion,recomendaciones_vistas,minutos_sesion,sistema_sesion,recomendaciones_totales,fecha_sesion,avg_valoracion,duracion_prom_sesion,porcentaje_finalizado,avg_sesiones_semana,click_rate
0,0,1,moderator,Recomendeitor_Plus,"[71, 12, 18, 53, 62]",2608,"['short', 'documentary', 'live', 'movie']",40,5,2760,"['Recomendeitor_Plus', 'Recomendeitor']",2,"[datetime.date(2022, 7, 6), datetime.date(2021, 7, 11), datetime.date(2022, 2, 21), datetime.date(2021, 12, 6), datetime.date(2022, 4, 20)]",3.26,69.0,105.83,1.0,2.5
1,1,2,moderator,Recomendeitor,[102],23,['documentary'],1,1,129,['Recomendeitor'],1,"[datetime.date(2022, 6, 11)]",2.20,129.0,560.87,1.0,1.0
2,2,3,moderator,Recomendeitor_Plus,"[43, 84, 4]",210,"['short', 'series', 'live']",3,3,188,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 4, 2), datetime.date(2022, 6, 8), datetime.date(2021, 4, 1)]",3.50,62.67,89.52,1.0,3.0
3,3,5,consumer,Recomendeitor,"[168, 170, 4]",312,"['documentary', 'series', 'movie']",9,3,597,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2022, 5, 6), datetime.date(2021, 2, 2), datetime.date(2021, 10, 8)]",3.27,66.33,191.35,1.0,1.0
4,4,6,consumer,Recomendeitor_Plus,"[161, 3, 168, 114, 117, 90]",1686,"['short', 'documentary', 'live']",18,6,1389,"['Recomendeitor_Plus', 'Recomendeitor']",3,"[datetime.date(2021, 11, 20), datetime.date(2021, 10, 9), datetime.date(2022, 6, 15), datetime.date(2021, 7, 10), datetime.date(2021, 11, 23), datetime.date(2021, 8, 21)]",3.78,77.17,82.38,1.0,2.0
5,5,8,moderator,Recomendeitor,"[96, 179, 29, 191]",4275,"['short', 'documentary', 'live', 'movie']",36,4,4095,['Recomendeitor_Plus'],3,"[datetime.date(2021, 3, 2), datetime.date(2022, 5, 27), datetime.date(2022, 6, 3), datetime.date(2021, 12, 13)]",3.60,113.75,95.79,1.0,1.33
6,6,10,content_creator,Recomendeitor_Plus,"[170, 82]",2088,"['live', 'movie']",24,2,2256,"['Recomendeitor_Plus', 'Recomendeitor']",4,"[datetime.date(2022, 6, 16), datetime.date(2022, 8, 31)]",2.10,94.0,108.05,1.0,0.5
7,7,11,consumer,Recomendeitor_Plus,"[108, 182]",286,['movie'],4,2,372,"['Recomendeitor_Plus', 'Recomendeitor']",1,"[datetime.date(2022, 8, 2), datetime.date(2021, 1, 30)]",4.55,93.0,130.07,1.0,2.0
8,8,12,admin,Recomendeitor_Plus,"[137, 3, 100, 111]",1371,"['documentary', 'live', 'movie']",12,4,1245,['Recomendeitor'],3,"[datetime.date(2022, 12, 8), datetime.date(2022, 1, 8), datetime.date(2021, 6, 4), datetime.date(2021, 11, 8)]",4.37,103.75,90.81,1.0,1.33
9,9,13,admin,Recomendeitor_Plus,"[38, 141, 52, 92, 190]",2303,"['short', 'live', 'series']",35,5,3738,"['Recomendeitor_Plus', 'Recomendeitor']",7,"[datetime.date(2021, 7, 18), datetime.date(2021, 10, 24), datetime.date(2022, 11, 3), datetime.date(2021, 3, 18), datetime.date(2021, 10, 14)]",2.14,106.8,162.31,1.0,0.71
